id,Region,Country,Category,Subcategory,Global_Brand_Owner,pct_2015,pct_2016,pct_2017,Unit2015,Unit2016,Unit2017,Growth_pct_2015_2016,Growth_pct_2016_2017
6B57592A,WE,France,Footwear,Women's Footwear,New Balance Athletic Shoe Inc,0.4,0.4,0.5,17.4,18.4,19.9,6.3,6.1,,
E2BC4E29,WE,France,Footwear,Women's Footwear,Mizuno Corp,0.3,0.3,0.4,12.4,13.6,15.3,9.6,10.8,,
B98DEC1B,WE,France,Footwear,Women's Footwear,Deckers Outdoor Corp,0.2,0.2,0.2,7.8,6.9,6.8,-11.6,-2.4,,
0F5FE628,WE,France,Footwear,Women's Footwear,Gap Inc, The,0.2,0.2,0.2,7.1,6.8,6.7,-4,-2.3,,
F4D4BE25,WE,France,Footwear,Women's Footwear,Skechers USA Inc,0.1,0.1,0.1,4.1,4.6,5.1,11,9.6,,
4BC5CE2B,WE,France,Footwear,Women's Footwear,Lacoste SA,0,0,0,0,0,0,0,0,,
B2EBCFB7,WE,Germany,Footwear,Children's Footwear,adidas Group,4.4,5.3,6.2,87.2,104.6,127.2,20.3,19.5,,
A35BCB76,WE,Germany,Footwear,Children's Footwear,Nike Inc,4.5,4.8,4.8,90.2,95.1,98.1,5.6,1.4,,
795E78D1,WE,Germany,Footwear,Children's Footwear,Asics Corp,1.1,1.2,1.2,22.6,23.2,23.8,2.8,1,,
584A2F91,WE,Germany,Footwear,Children's Footwear,New Balance Athletic Shoe Inc,0.2,0.2,0.2,4.7,4.8,4.9,0.9,2,,
42E4FD9D,WE,Germany,Footwear,Children's Footwear,Inditex, Industria de Diseño Textil SA,0.2,0.2,0.2,3.5,3.9,4.4,11.3,9.5,,
A68B742F,WE,Germany,Footwear,Children's Footwear,H&M Hennes & Mauritz AB,0.1,0.1,0.1,2.1,2,2.1,-3.4,1.5,,
012D220C,WE,Germany,Footwear,Men's Footwear,adidas Group,7.7,9.3,11,294,351.6,426.8,19.9,19.3,,
7690D96B,WE,Germany,Footwear,Men's Footwear,Nike Inc,6.4,6.7,6.8,242.7,255.8,263.8,5.7,1.4,,
27C924A9,WE,Germany,Footwear,Men's Footwear,Asics Corp,1.9,1.9,1.9,70.5,72.3,74.3,2.8,1,,
154B8B01,WE,Germany,Footwear,Men's Footwear,Skechers USA Inc,0.6,0.7,0.9,22.7,27.2,33.2,20,20,,
27A3184B,WE,Germany,Footwear,Men's Footwear,New Balance Athletic Shoe Inc,0.8,0.8,0.8,30.5,29,30.1,-4.7,2,,
6F6C87C2,WE,Germany,Footwear,Men's Footwear,Brooks Sports Inc,0.3,0.4,0.4,12.9,14.7,15.1,14.5,1,,
DEC527AA,WE,Germany,Footwear,Men's Footwear,Inditex, Industria de Diseño Textil SA,0.2,0.3,0.3,8.7,9.7,10.9,11.3,10.8,,
CCBE57DA,WE,Germany,Footwear,Men's Footwear,H&M Hennes & Mauritz AB,0.2,0.2,0.2,7.6,7.4,7.6,-1.7,1.5,,
4CD05D97,WE,Germany,Footwear,Men's Footwear,Under Armour Inc,0.1,0.1,0.2,3.4,5,6.3,49.5,23.4,,
001E4830,WE,Germany,Footwear,Men's Footwear,Lacoste SA,0,0,0,0,0,0,0,0,,
9000BF7A,WE,Germany,Footwear,Women's Footwear,adidas Group,4.9,6,7.1,351.1,421.5,512.9,20.4,19.6,,
D6C21C97,WE,Germany,Footwear,Women's Footwear,Nike Inc,5.6,6.1,6.1,403,424.5,438.3,5.6,1.5,,
8D36D31B,WE,Germany,Footwear,Women's Footwear,Asics Corp,0.9,0.9,0.9,63.5,65.1,66.9,2.8,1,,
5AD26D49,WE,Germany,Footwear,Women's Footwear,Skechers USA Inc,0.5,0.6,0.6,35.6,42.6,43.2,20,-0.5,,
CC6BE0F2,WE,Germany,Footwear,Women's Footwear,New Balance Athletic Shoe Inc,0.3,0.3,0.3,23.6,23.3,24.2,-1.1,2,,
B93122CB,WE,Germany,Footwear,Women's Footwear,Inditex, Industria de Diseño Textil SA,0.3,0.3,0.3,18.5,20.5,22.9,11.3,9.6,,
B3778765,WE,Germany,Footwear,Women's Footwear,H&M Hennes & Mauritz AB,0.3,0.3,0.3,19.4,19.2,19.8,-0.5,1.5,,
7BC6C5A2,WE,Germany,Footwear,Women's Footwear,Deckers Outdoor Corp,0.3,0.3,0.3,19,18.9,19.5,-0.2,1.1,,
E8627423,WE,Germany,Footwear,Women's Footwear,Brooks Sports Inc,0.2,0.2,0.2,12.7,15.1,15.6,19.8,1,,
7828953A,WE,Germany,Footwear,Women's Footwear,Lacoste SA,0,0,0,0,0,0,0,0,,
8F87F2BA,WE,Greece,Footwear,Children's Footwear,adidas Group,7.9,7.7,8.2,11.9,11.3,11.8,-4.9,2.7,,
D3671917,WE,Greece,Footwear,Children's Footwear,Nike Inc,6.9,7.6,7.8,10.3,11.1,11.2,7.2,-0.4,,
AE176720,WE,Greece,Footwear,Children's Footwear,H&M Hennes & Mauritz AB,3.7,5.3,5.8,5.5,7.7,8.4,39.6,6.6,,
81A61A33,WE,Greece,Footwear,Children's Footwear,Inditex, Industria de Diseño Textil SA,2.4,2.7,2.8,3.6,3.9,4,6.7,0.6,,
E89170D5,WE,Greece,Footwear,Children's Footwear,New Balance Athletic Shoe Inc,0.6,0.8,0.8,0.9,1.1,1.1,22.9,-3.1,,
F9E8F60C,WE,Greece,Footwear,Children's Footwear,Deckers Outdoor Corp,0.3,0.2,0.2,0.4,0.3,0.2,-25,-26.7,,
4BC7F9DC,WE,Greece,Footwear,Children's Footwear,Skechers USA Inc,0.1,0.1,0.1,0.2,0.2,0.1,-10.8,-15,,
557CB1CA,WE,Greece,Footwear,Children's Footwear,Lacoste SA,0,0,0,0,0,0,0,0,,
1FDCEF44,WE,Greece,Footwear,Children's Footwear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0,,
23159A24,WE,Greece,Footwear,Men's Footwear,Nike Inc,28.3,29.1,30,93.4,96.2,100.6,3.3,2.7,,
2756E7F2,WE,Greece,Footwear,Men's Footwear,adidas Group,23.2,25.1,26.9,76.8,83.2,90.4,8.7,6.7,,
B44BF8FE,WE,Greece,Footwear,Men's Footwear,Inditex, Industria de Diseño Textil SA,3.3,3.8,4,11,12.7,13.3,15.6,3.2,,
B1D8E4BA,WE,Greece,Footwear,Men's Footwear,New Balance Athletic Shoe Inc,2.2,2.3,2.4,7.4,7.6,8.2,3.1,6.1,,
0FFAA4B3,WE,Greece,Footwear,Men's Footwear,H&M Hennes & Mauritz AB,1.1,1.4,1.6,3.7,4.8,5.4,29.3,10.4,,
5A0D7D14,WE,Greece,Footwear,Men's Footwear,Asics Corp,1.3,1,0.9,4.4,3.2,2.9,-26.8,-11.4,,
16F9E11C,WE,Greece,Footwear,Men's Footwear,Skechers USA Inc,0.7,0.7,0.7,2.5,2.3,2.2,-8.1,-3.4,,
BE870FF8,WE,Greece,Footwear,Men's Footwear,Gap Inc, The,0.1,0.1,0.1,0.4,0.4,0.4,-4.8,-11.8,,
A164412F,WE,Greece,Footwear,Men's Footwear,Lacoste SA,0,0,0,0,0,0,0,0,,
C75BC3E5,WE,Greece,Footwear,Men's Footwear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0,,
A33A8091,WE,Greece,Footwear,Women's Footwear,Inditex, Industria de Diseño Textil SA,8.7,9.3,9.5,36.9,38.2,39.6,3.8,1.7,,
5F5D77A5,WE,Greece,Footwear,Women's Footwear,Nike Inc,7.9,8.8,9.1,33.4,36.5,37.9,9.5,2.1,,
4B168A8B,WE,Greece,Footwear,Women's Footwear,adidas Group,7.1,7.6,8.1,30.1,31.3,33.6,4.4,5.2
8D3AEA23,WE,Greece,Footwear,Women's Footwear,H&M Hennes & Mauritz AB,2.8,4.1,4.4,11.7,17.1,18.2,46.5,4.8
8BED1C7E,WE,Greece,Footwear,Women's Footwear,Deckers Outdoor Corp,1.7,1.7,1.6,7.3,6.9,6.8,-5,-3.5
BFD8B799,WE,Greece,Footwear,Women's Footwear,New Balance Athletic Shoe Inc,1.6,1.6,1.6,6.8,6.6,6.5,-1.7,-3.3
4EE0BDF1,WE,Greece,Footwear,Women's Footwear,Asics Corp,1.1,1,0.9,4.6,4.3,3.9,-4.8,-10.7
EF05F926,WE,Greece,Footwear,Women's Footwear,Skechers USA Inc,0.1,0.1,0.1,0.5,0.5,0.5,-6.6,-2.2
4B20015F,WE,Greece,Footwear,Women's Footwear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0
C9E8A625,WE,Italy,Footwear,Children's Footwear,Nike Inc,15.6,16.9,17.1,125.8,134.7,138.9,7.3,1.3
FAB06B50,WE,Italy,Footwear,Children's Footwear,adidas Group,8.2,9.6,9.5,65.7,76.5,77.5,16.7,-0.5
0501C721,WE,Italy,Footwear,Children's Footwear,Inditex, Industria de Diseño Textil SA,0.9,1,1.1,7.4,8,8.9,7.8,9.6
546AE458,WE,Italy,Footwear,Children's Footwear,Skechers USA Inc,0.7,0.8,0.9,5.8,6.6,7.4,15.3,10.1
5C28A5D7,WE,Italy,Footwear,Children's Footwear,H&M Hennes & Mauritz AB,0.5,0.6,0.7,4.2,4.6,5.3,10.2,12.9
7A16A809,WE,Italy,Footwear,Men's Footwear,Nike Inc,10.2,11.4,11.7,271.7,295.4,305.6,9,1.7
DD9BBB3D,WE,Italy,Footwear,Men's Footwear,adidas Group,7.6,8.9,9,203.7,230.8,235.4,13.6,0.2
A1B1D3BB,WE,Italy,Footwear,Men's Footwear,Mizuno Corp,1.4,1.5,1.6,38.4,39.4,42.6,2.9,6.4
76C5FD48,WE,Italy,Footwear,Men's Footwear,Asics Corp,0.9,0.9,0.9,24,23.4,23.3,-2.2,-1.9
